TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
37,31,-1.1631218869489404,1,67.9675925925926,63.35648148148148,0.795,-0.246,False,32.63404721994729,8.637043654444199,15
37,13,-1.2894498060272779,1,54.95238095238095,77.64550264550265,0.618,0.759,False,32.11993239761545,7.69240017900774,6
37,24,-1.4103312802968913,1,68.00896860986548,87.36322869955157,0.826,-0.618,False,33.266396049198505,8.768401777226195,17
37,25,-1.2068518123950454,1,58.75342465753425,88.60958904109589,0.43,-0.285,False,24.764589921036983,7.647329362146102,7
37,16,-1.180272522658328,1,37.50413223140496,104.7892561983471,0.577,-0.212,False,37.91391975213351,8.41519721466033,8
37,20,-1.1601897792170568,1,43.971830985915496,107.54460093896714,0.602,1.499,False,37.96027646587262,7.402963781907302,10
37,27,-1.4631349037702759,1,57.12471131639723,130.03695150115473,0.43,0.064,False,72.23989768216578,7.926301704410116,18
37,28,-1.150977109401803,1,50.125,110.59868421052632,0.481,-0.055,False,25.223481782596465,7.820461832444388,7
37,26,-1.4380209689055874,1,65.85714285714286,117.53333333333332,0.761,-0.287,False,32.52832222225417,8.392862175168469,17
37,29,-1.4819347001280072,1,49.08441558441559,141.22727272727272,0.894,0.35,False,52.29438415644917,7.983329314206855,18
37,21,-1.6188362019953575,1,33.38636363636363,144.86363636363637,0.798,-0.182,False,53.30259797028637,8.793686222888462,10
37,19,-1.5429041260101721,1,41.689655172413794,143.59655172413792,0.823,0.629,False,50.977549128043314,7.546590665775214,11
38,22,-0.2658617623078267,1,89.8283261802575,30.266094420600854,0.607,-0.315,False,36.60487761470913,8.556173110048311,12
38,30,-0.2504617431676669,1,92.89837398373984,37.17886178861789,0.898,0.848,False,38.51230440028074,8.680138926854935,15
38,23,-1.0555619723254475,1,65.65919282511211,52.08968609865471,0.695,0.01,False,38.383444682330335,7.64382889427647,12
38,14,-1.1627515906567187,1,54.00275482093664,62.18732782369146,,,True,60.83388797519572,8.644105628417908,8
38,31,-1.0681120781311386,1,70.32113821138212,58.833333333333336,0.929,-0.047,False,36.60656687393744,8.718433500919827,15
38,24,-1.285875833946364,1,68.43852459016394,83.06147540983606,0.81,-0.267,False,37.39575762355136,8.484913292268631,17
38,13,-1.1942212667681436,1,52.83962264150944,83.62264150943396,0.839,0.293,False,35.207537878066105,8.065984505391931,6
38,25,-1.2190900270011367,1,59.56603773584906,86.33962264150944,0.368,-0.236,False,26.91345325921582,7.696430215018799,7
38,16,-1.2586713456568321,1,37.61797752808989,103.62172284644194,0.546,-0.044,False,40.79775830715043,8.599974373801242,8
38,28,-1.226336947799362,1,50.2289156626506,110.24698795180724,0.523,-0.131,False,27.629048988092872,7.806513119066664,7
38,27,-1.4647979956765649,1,57.49217002237136,130.22371364653245,0.575,0.201,False,74.39133279585043,8.029608666805611,18
38,20,-1.2274652780003619,1,40.84453781512605,116.7436974789916,0.752,0.865,False,40.96932286376876,7.590984850495531,10
38,26,-1.4860359800877663,1,66.38427947598254,115.58515283842794,0.749,0.138,False,36.33133493584319,8.248375814649709,17
